,name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
47,Under Control,alternative,0.401,0.723,1,-4.651,1,0.0291,0.341,0.775,0.0543,0.66,90.596,audio_features,3kKb3U3a8jmUJQB9ypE1Jl,spotify:track:3kKb3U3a8jmUJQB9ypE1Jl,https://api.spotify.com/v1/tracks/3kKb3U3a8jmUJQB9ypE1Jl,https://api.spotify.com/v1/audio-analysis/3kKb3U3a8jmUJQB9ypE1Jl,187153,4
48,The Way It Is,alternative,0.481,0.943,11,-2.592,1,0.0495,0.000179,0.865,0.0985,0.877,137.091,audio_features,5MZBOcqI3Vpvp2PZy6ddyD,spotify:track:5MZBOcqI3Vpvp2PZy6ddyD,https://api.spotify.com/v1/tracks/5MZBOcqI3Vpvp2PZy6ddyD,https://api.spotify.com/v1/audio-analysis/5MZBOcqI3Vpvp2PZy6ddyD,141502,4
49,The End Has No End,alternative,0.536,0.655,1,-3.713,1,0.0336,0.000799,0.832,0.229,0.552,136.006,audio_features,0dy6iXYIF0piirySAzCBwF,spotify:track:0dy6iXYIF0piirySAzCBwF,https://api.spotify.com/v1/tracks/0dy6iXYIF0piirySAzCBwF,https://api.spotify.com/v1/audio-analysis/0dy6iXYIF0piirySAzCBwF,185435,4
50,I Can't Win,alternative,0.473,0.745,11,-4.819,1,0.0321,0.00492,0.634,0.105,0.405,97.449,audio_features,7eX5SypK35V8Y9d9pS6rWy,spotify:track:7eX5SypK35V8Y9d9pS6rWy,https://api.spotify.com/v1/tracks/7eX5SypK35V8Y9d9pS6rWy,https://api.spotify.com/v1/audio-analysis/7eX5SypK35V8Y9d9pS6rWy,161100,4
51,Falling Away - Festival Mix (Radio Edit),edm,0.476,0.829,7,-3.918,0,0.0565,0.00221,0,0.807,0.209,127.991,audio_features,6t8d3jLQMN3C5JDkOjIhnf,spotify:track:6t8d3jLQMN3C5JDkOjIhnf,https://api.spotify.com/v1/tracks/6t8d3jLQMN3C5JDkOjIhnf,https://api.spotify.com/v1/audio-analysis/6t8d3jLQMN3C5JDkOjIhnf,225015,4
52,Slow It Down,pop,0.733,0.754,0,-3.392,0,0.0593,0.264,0,0.131,0.849,115.024,audio_features,6TapyDFlRUlZ4cmIaqJx4k,spotify:track:6TapyDFlRUlZ4cmIaqJx4k,https://api.spotify.com/v1/tracks/6TapyDFlRUlZ4cmIaqJx4k,https://api.spotify.com/v1/audio-analysis/6TapyDFlRUlZ4cmIaqJx4k,190053,4
53,Cross-Eyed Mary,rock,0.575,0.696,0,-10.01,1,0.12,0.179,0.00114,0.315,0.646,86.304,audio_features,6MBZyLisOWTChcevgFqwVr,spotify:track:6MBZyLisOWTChcevgFqwVr,https://api.spotify.com/v1/tracks/6MBZyLisOWTChcevgFqwVr,https://api.spotify.com/v1/audio-analysis/6MBZyLisOWTChcevgFqwVr,250200,4
54,Aqualung,rock,0.477,0.479,7,-11.887,0,0.0483,0.0649,0.029,0.0906,0.662,122.531,audio_features,5UuikgHTxSRFRnC0zXx10i,spotify:track:5UuikgHTxSRFRnC0zXx10i,https://api.spotify.com/v1/tracks/5UuikgHTxSRFRnC0zXx10i,https://api.spotify.com/v1/audio-analysis/5UuikgHTxSRFRnC0zXx10i,396187,4
55,Locomotive Breath,rock,0.68,0.53,11,-13.105,0,0.0889,0.417,0.011,0.0559,0.352,124.551,audio_features,0MYNeFsKpzBHwrJGfWZysV,spotify:track:0MYNeFsKpzBHwrJGfWZysV,https://api.spotify.com/v1/tracks/0MYNeFsKpzBHwrJGfWZysV,https://api.spotify.com/v1/audio-analysis/0MYNeFsKpzBHwrJGfWZysV,266013,4
56,Missing - Andrew Rayel & Mark Sixma Remix,edm,0.575,0.92,11,-4.183,0,0.0835,0.00902,0.00187,0.158,0.103,129.979,audio_features,1WlMjyGrxWEFAeNAxPrGdk,spotify:track:1WlMjyGrxWEFAeNAxPrGdk,https://api.spotify.com/v1/tracks/1WlMjyGrxWEFAeNAxPrGdk,https://api.spotify.com/v1/audio-analysis/1WlMjyGrxWEFAeNAxPrGdk,201231,4
