,name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1120,Fireside,indie,0.538,0.953,9,-5.611,0,0.056,0.0234,0.00126,0.113,0.74,100.033,audio_features,4p8hEugsVDbekDgDH4QagU,spotify:track:4p8hEugsVDbekDgDH4QagU,https://api.spotify.com/v1/tracks/4p8hEugsVDbekDgDH4QagU,https://api.spotify.com/v1/audio-analysis/4p8hEugsVDbekDgDH4QagU,181049,4
1121,Why'd You Only Call Me When You're High?,indie,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,audio_features,2v8X6L6j0kbUPXDZwtXvXU,spotify:track:2v8X6L6j0kbUPXDZwtXvXU,https://api.spotify.com/v1/tracks/2v8X6L6j0kbUPXDZwtXvXU,https://api.spotify.com/v1/audio-analysis/2v8X6L6j0kbUPXDZwtXvXU,161124,4
1122,Snap Out Of It,indie,0.728,0.638,5,-6.455,0,0.0336,0.249,0,0.116,0.872,130.014,audio_features,30uJNlHIjfDeE4vr8g9fpf,spotify:track:30uJNlHIjfDeE4vr8g9fpf,https://api.spotify.com/v1/tracks/30uJNlHIjfDeE4vr8g9fpf,https://api.spotify.com/v1/audio-analysis/30uJNlHIjfDeE4vr8g9fpf,193030,4
1123,Knee Socks,indie,0.665,0.542,11,-8.323,0,0.033,0.123,0.00291,0.342,0.587,97.975,audio_features,11Z7DsmzTwKIEbSSnPwH1C,spotify:track:11Z7DsmzTwKIEbSSnPwH1C,https://api.spotify.com/v1/tracks/11Z7DsmzTwKIEbSSnPwH1C,https://api.spotify.com/v1/audio-analysis/11Z7DsmzTwKIEbSSnPwH1C,257563,4
1124,I Wanna Be Yours,indie,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,audio_features,0t6eWxZFkm89DuTj8tJ2fz,spotify:track:0t6eWxZFkm89DuTj8tJ2fz,https://api.spotify.com/v1/tracks/0t6eWxZFkm89DuTj8tJ2fz,https://api.spotify.com/v1/audio-analysis/0t6eWxZFkm89DuTj8tJ2fz,183956,4
1125,On Sight,rap,0.608,0.469,9,-3.182,0,0.325,0.487,0,0.28,0.515,102.528,audio_features,1gqkRc9WtOpnGIqxf2Hvzr,spotify:track:1gqkRc9WtOpnGIqxf2Hvzr,https://api.spotify.com/v1/tracks/1gqkRc9WtOpnGIqxf2Hvzr,https://api.spotify.com/v1/audio-analysis/1gqkRc9WtOpnGIqxf2Hvzr,156480,4
1126,Black Skinhead,rap,0.766,0.821,1,-6.124,1,0.268,0.00112,0,0.168,0.299,130.073,audio_features,722tgOgdIbNe3BEyLnejw4,spotify:track:722tgOgdIbNe3BEyLnejw4,https://api.spotify.com/v1/tracks/722tgOgdIbNe3BEyLnejw4,https://api.spotify.com/v1/audio-analysis/722tgOgdIbNe3BEyLnejw4,188013,4
1127,I Am A God,rap,0.506,0.532,4,-7.403,0,0.0713,0.0366,0.000783,0.165,0.303,111.829,audio_features,0HMCdlOPJkAGlB0MlSWIcO,spotify:track:0HMCdlOPJkAGlB0MlSWIcO,https://api.spotify.com/v1/tracks/0HMCdlOPJkAGlB0MlSWIcO,https://api.spotify.com/v1/audio-analysis/0HMCdlOPJkAGlB0MlSWIcO,231507,4
1128,New Slaves,rap,0.579,0.59,1,-4.322,1,0.0708,0.166,1.09e-05,0.096,0.361,150.189,audio_features,4cAgkb0ifwn0FSHGXnr4F6,spotify:track:4cAgkb0ifwn0FSHGXnr4F6,https://api.spotify.com/v1/tracks/4cAgkb0ifwn0FSHGXnr4F6,https://api.spotify.com/v1/audio-analysis/4cAgkb0ifwn0FSHGXnr4F6,256093,4
1129,Guilt Trip,rap,0.439,0.666,4,-6.078,0,0.0754,0.159,1.03e-05,0.129,0.579,137.9,audio_features,5nPOM0nFRAJ3XI8xCxNAzO,spotify:track:5nPOM0nFRAJ3XI8xCxNAzO,https://api.spotify.com/v1/tracks/5nPOM0nFRAJ3XI8xCxNAzO,https://api.spotify.com/v1/audio-analysis/5nPOM0nFRAJ3XI8xCxNAzO,243747,4
1130,Bound 2,rap,0.365,0.666,1,-2.821,1,0.0471,0.145,0,0.113,0.311,149.445,audio_features,3sNVsP50132BTNlImLx70i,spotify:track:3sNVsP50132BTNlImLx70i,https://api.spotify.com/v1/tracks/3sNVsP50132BTNlImLx70i,https://api.spotify.com/v1/audio-analysis/3sNVsP50132BTNlImLx70i,229147,4
1131,Sherane a.k.a Master Splinter’s Daughter,rap,0.503,0.508,10,-11.094,0,0.52,0.486,0.0102,0.124,0.317,81.908,audio_features,0qGFnxDIqGBIq2D3zNbjk9,spotify:track:0qGFnxDIqGBIq2D3zNbjk9,https://api.spotify.com/v1/tracks/0qGFnxDIqGBIq2D3zNbjk9,https://api.spotify.com/v1/audio-analysis/0qGFnxDIqGBIq2D3zNbjk9,273640,4
1132,"Bitch, Don’t Kill My Vibe",rap,0.587,0.698,1,-8.948,1,0.0943,0.0152,0,0.442,0.0985,133.954,audio_features,712uvW1Vezq8WpQi38v2L9,spotify:track:712uvW1Vezq8WpQi38v2L9,https://api.spotify.com/v1/tracks/712uvW1Vezq8WpQi38v2L9,https://api.spotify.com/v1/audio-analysis/712uvW1Vezq8WpQi38v2L9,310720,4
1133,Backseat Freestyle,rap,0.546,0.651,1,-7.601,1,0.3,0.000739,0,0.235,0.646,77.878,audio_features,3aGibUHhQyBsyumYHylw0K,spotify:track:3aGibUHhQyBsyumYHylw0K,https://api.spotify.com/v1/tracks/3aGibUHhQyBsyumYHylw0K,https://api.spotify.com/v1/audio-analysis/3aGibUHhQyBsyumYHylw0K,212653,4
1134,Money Trees,rap,0.716,0.531,7,-7.355,1,0.122,0.0703,0,0.224,0.344,71.994,audio_features,0AOvNRgl0SMfOibWA5bP8o,spotify:track:0AOvNRgl0SMfOibWA5bP8o,https://api.spotify.com/v1/tracks/0AOvNRgl0SMfOibWA5bP8o,https://api.spotify.com/v1/audio-analysis/0AOvNRgl0SMfOibWA5bP8o,386907,4
1135,Poetic Justice,rap,0.779,0.572,6,-9.985,0,0.378,0.157,0,0.246,0.647,135.956,audio_features,2P3SLxeQHPqh8qKB6gtJY2,spotify:track:2P3SLxeQHPqh8qKB6gtJY2,https://api.spotify.com/v1/tracks/2P3SLxeQHPqh8qKB6gtJY2,https://api.spotify.com/v1/audio-analysis/2P3SLxeQHPqh8qKB6gtJY2,300160,4
1136,good kid,rap,0.451,0.831,5,-8.641,0,0.307,0.0623,0,0.185,0.41,176.162,audio_features,5vuJuBqwzHJgCA1ysRfwxZ,spotify:track:5vuJuBqwzHJgCA1ysRfwxZ,https://api.spotify.com/v1/tracks/5vuJuBqwzHJgCA1ysRfwxZ,https://api.spotify.com/v1/audio-analysis/5vuJuBqwzHJgCA1ysRfwxZ,214120,4
1137,m.A.A.d city,rap,0.487,0.729,2,-6.815,1,0.271,0.0538,4.07e-06,0.44,0.217,91.048,audio_features,2cDCojn6uIBM6A5xTAbl3H,spotify:track:2cDCojn6uIBM6A5xTAbl3H,https://api.spotify.com/v1/tracks/2cDCojn6uIBM6A5xTAbl3H,https://api.spotify.com/v1/audio-analysis/2cDCojn6uIBM6A5xTAbl3H,350120,4
1138,Swimming Pools (Drank) - Extended Version,rap,0.716,0.485,1,-7.745,1,0.404,0.123,2.69e-05,0.604,0.26,74.132,audio_features,5ujh1I7NZH5agbwf7Hp8Hc,spotify:track:5ujh1I7NZH5agbwf7Hp8Hc,https://api.spotify.com/v1/tracks/5ujh1I7NZH5agbwf7Hp8Hc,https://api.spotify.com/v1/audio-analysis/5ujh1I7NZH5agbwf7Hp8Hc,313787,4
1139,"Sing About Me, I'm Dying Of Thirst",rap,0.654,0.753,11,-7.556,0,0.395,0.303,8.08e-05,0.13,0.371,110.722,audio_features,3q2v8QaTnHLveAQzR6gvYm,spotify:track:3q2v8QaTnHLveAQzR6gvYm,https://api.spotify.com/v1/tracks/3q2v8QaTnHLveAQzR6gvYm,https://api.spotify.com/v1/audio-analysis/3q2v8QaTnHLveAQzR6gvYm,723573,5
1140,Real,rap,0.652,0.458,1,-12.272,1,0.194,0.0282,0,0.664,0.174,100.046,audio_features,5d8yMIlqJH78lwOUP7T3oF,spotify:track:5d8yMIlqJH78lwOUP7T3oF,https://api.spotify.com/v1/tracks/5d8yMIlqJH78lwOUP7T3oF,https://api.spotify.com/v1/audio-analysis/5d8yMIlqJH78lwOUP7T3oF,443413,4
