,name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
33,Everybody,rap,0.885,0.936,1,-5.879,1,0.0894,0.148,0,0.0703,0.763,110.011,audio_features,51sVgPeBHYwbeM1cWegVqR,spotify:track:51sVgPeBHYwbeM1cWegVqR,https://api.spotify.com/v1/tracks/51sVgPeBHYwbeM1cWegVqR,https://api.spotify.com/v1/audio-analysis/51sVgPeBHYwbeM1cWegVqR,162373,4
34,Black SpiderMan,rap,0.615,0.871,1,-5.308,1,0.0894,0.126,5.88e-05,0.381,0.284,140.033,audio_features,0lSFDvmV2HZqrtVtneT3no,spotify:track:0lSFDvmV2HZqrtVtneT3no,https://api.spotify.com/v1/tracks/0lSFDvmV2HZqrtVtneT3no,https://api.spotify.com/v1/audio-analysis/0lSFDvmV2HZqrtVtneT3no,331293,4
35,Calm Down,rap,0.537,0.624,11,-8.794,1,0.325,0.000175,2.2e-06,0.116,0.409,102.315,audio_features,7xq3uN2toVZ8IbNzfTucyJ,spotify:track:7xq3uN2toVZ8IbNzfTucyJ,https://api.spotify.com/v1/tracks/7xq3uN2toVZ8IbNzfTucyJ,https://api.spotify.com/v1/audio-analysis/7xq3uN2toVZ8IbNzfTucyJ,127427,4
36,Intro,rap,0.456,0.268,7,-15.164,0,0.0417,0.844,0.0693,0.107,0.12,78.531,audio_features,4YwNf1fLZt9IQhJeHNWfBi,spotify:track:4YwNf1fLZt9IQhJeHNWfBi,https://api.spotify.com/v1/tracks/4YwNf1fLZt9IQhJeHNWfBi,https://api.spotify.com/v1/audio-analysis/4YwNf1fLZt9IQhJeHNWfBi,129267,4
37,January 28th,rap,0.483,0.546,5,-8.59,1,0.349,0.259,0,0.0951,0.372,81.967,audio_features,6NyhBA9M6KK0fuVsojxL00,spotify:track:6NyhBA9M6KK0fuVsojxL00,https://api.spotify.com/v1/tracks/6NyhBA9M6KK0fuVsojxL00,https://api.spotify.com/v1/audio-analysis/6NyhBA9M6KK0fuVsojxL00,242813,4
38,Wet Dreamz,rap,0.504,0.705,6,-8.205,0,0.364,0.0752,0,0.128,0.584,175.483,audio_features,6Ius4TC0L3cN74HT7ENE6e,spotify:track:6Ius4TC0L3cN74HT7ENE6e,https://api.spotify.com/v1/tracks/6Ius4TC0L3cN74HT7ENE6e,https://api.spotify.com/v1/audio-analysis/6Ius4TC0L3cN74HT7ENE6e,239320,4
39,03' Adolescence,rap,0.518,0.809,1,-6.362,1,0.566,0.389,0,0.275,0.261,146.216,audio_features,4txn9qnwK3ILQqv5oq2mO3,spotify:track:4txn9qnwK3ILQqv5oq2mO3,https://api.spotify.com/v1/tracks/4txn9qnwK3ILQqv5oq2mO3,https://api.spotify.com/v1/audio-analysis/4txn9qnwK3ILQqv5oq2mO3,264213,4
40,A Tale of 2 Citiez,rap,0.559,0.556,6,-7.844,1,0.531,0.553,0,0.251,0.362,189.861,audio_features,7lL3MvFWFFSD25pBz72Agj,spotify:track:7lL3MvFWFFSD25pBz72Agj,https://api.spotify.com/v1/tracks/7lL3MvFWFFSD25pBz72Agj,https://api.spotify.com/v1/audio-analysis/7lL3MvFWFFSD25pBz72Agj,269787,4
41,Fire Squad,rap,0.516,0.738,11,-7.21,1,0.415,0.279,0,0.621,0.595,175.432,audio_features,4Tjh34RS4ACZ6f6srlDBg8,spotify:track:4Tjh34RS4ACZ6f6srlDBg8,https://api.spotify.com/v1/tracks/4Tjh34RS4ACZ6f6srlDBg8,https://api.spotify.com/v1/audio-analysis/4Tjh34RS4ACZ6f6srlDBg8,288200,4
42,St. Tropez,rap,0.561,0.541,9,-9.818,0,0.0711,0.054,0.0371,0.0627,0.324,84.241,audio_features,4qRjfovbhI4EwP7VQNfxVW,spotify:track:4qRjfovbhI4EwP7VQNfxVW,https://api.spotify.com/v1/tracks/4qRjfovbhI4EwP7VQNfxVW,https://api.spotify.com/v1/audio-analysis/4qRjfovbhI4EwP7VQNfxVW,257920,4
43,G.O.M.D.,rap,0.889,0.393,4,-10.821,0,0.267,0.331,8.67e-06,0.283,0.304,128.065,audio_features,16qYlQ6koFxYVbiJbGHblz,spotify:track:16qYlQ6koFxYVbiJbGHblz,https://api.spotify.com/v1/tracks/16qYlQ6koFxYVbiJbGHblz,https://api.spotify.com/v1/audio-analysis/16qYlQ6koFxYVbiJbGHblz,301133,4
44,No Role Modelz,rap,0.696,0.521,10,-8.465,0,0.332,0.302,0,0.0565,0.458,100.0,audio_features,62vpWI1CHwFy7tMIcSStl8,spotify:track:62vpWI1CHwFy7tMIcSStl8,https://api.spotify.com/v1/tracks/62vpWI1CHwFy7tMIcSStl8,https://api.spotify.com/v1/audio-analysis/62vpWI1CHwFy7tMIcSStl8,292987,4
45,Hello,rap,0.631,0.7,9,-8.565,0,0.212,0.0774,1.19e-05,0.106,0.329,159.973,audio_features,30Chv2SmIry70YwtmtaKnj,spotify:track:30Chv2SmIry70YwtmtaKnj,https://api.spotify.com/v1/tracks/30Chv2SmIry70YwtmtaKnj,https://api.spotify.com/v1/audio-analysis/30Chv2SmIry70YwtmtaKnj,219173,4
46,Apparently,rap,0.801,0.543,5,-9.236,1,0.091,0.564,0,0.116,0.534,133.982,audio_features,1HNs07uZxZniPNmniw2GTa,spotify:track:1HNs07uZxZniPNmniw2GTa,https://api.spotify.com/v1/tracks/1HNs07uZxZniPNmniw2GTa,https://api.spotify.com/v1/audio-analysis/1HNs07uZxZniPNmniw2GTa,293040,4
47,Love Yourz,rap,0.502,0.623,8,-8.812,1,0.441,0.609,0,0.119,0.399,75.555,audio_features,4gkl7QbQvBd3TM9PhlWFkI,spotify:track:4gkl7QbQvBd3TM9PhlWFkI,https://api.spotify.com/v1/tracks/4gkl7QbQvBd3TM9PhlWFkI,https://api.spotify.com/v1/audio-analysis/4gkl7QbQvBd3TM9PhlWFkI,211680,1
48,Note to Self,rap,0.652,0.455,8,-8.673,1,0.115,0.855,0,0.171,0.325,83.151,audio_features,01VGA34ATxwp0Xo1ldduo2,spotify:track:01VGA34ATxwp0Xo1ldduo2,https://api.spotify.com/v1/tracks/01VGA34ATxwp0Xo1ldduo2,https://api.spotify.com/v1/audio-analysis/01VGA34ATxwp0Xo1ldduo2,875307,4
49,Polaroid,rock,0.545,0.607,1,-6.778,1,0.0356,0.513,1.33e-06,0.207,0.235,76.987,audio_features,7fvgzmfXxrdTcrL3xh2cBD,spotify:track:7fvgzmfXxrdTcrL3xh2cBD,https://api.spotify.com/v1/tracks/7fvgzmfXxrdTcrL3xh2cBD,https://api.spotify.com/v1/audio-analysis/7fvgzmfXxrdTcrL3xh2cBD,230013,4
50,Forbes (feat. G-Eazy),rap,0.747,0.782,8,-4.326,1,0.283,0.0223,0,0.0902,0.501,113.99,audio_features,2Kt9BxrGKoFF9QPueruRe5,spotify:track:2Kt9BxrGKoFF9QPueruRe5,https://api.spotify.com/v1/tracks/2Kt9BxrGKoFF9QPueruRe5,https://api.spotify.com/v1/audio-analysis/2Kt9BxrGKoFF9QPueruRe5,206316,4
51,Inception,rap,0.468,0.925,7,-5.779,1,0.41,0.0872,0,0.584,0.482,81.124,audio_features,0T8Bh2iiFgT3r4idBPBw8t,spotify:track:0T8Bh2iiFgT3r4idBPBw8t,https://api.spotify.com/v1/tracks/0T8Bh2iiFgT3r4idBPBw8t,https://api.spotify.com/v1/audio-analysis/0T8Bh2iiFgT3r4idBPBw8t,129000,4
52,Set the Tone,rap,0.45,0.836,10,-7.173,0,0.356,0.0187,0,0.283,0.579,85.554,audio_features,06sJPBYZnAjAM8wiIa999N,spotify:track:06sJPBYZnAjAM8wiIa999N,https://api.spotify.com/v1/tracks/06sJPBYZnAjAM8wiIa999N,https://api.spotify.com/v1/audio-analysis/06sJPBYZnAjAM8wiIa999N,169533,4
53,Dead Presidents III,rap,0.548,0.884,6,-6.415,1,0.349,0.155,0,0.345,0.882,86.005,audio_features,0xWPhVstcrlEPEl684APnV,spotify:track:0xWPhVstcrlEPEl684APnV,https://api.spotify.com/v1/tracks/0xWPhVstcrlEPEl684APnV,https://api.spotify.com/v1/audio-analysis/0xWPhVstcrlEPEl684APnV,283000,4
54,Used to Hate It,rap,0.651,0.777,2,-5.127,1,0.0539,0.0307,0,0.083,0.307,147.944,audio_features,5mRdlQ6b8SYt5wxkx0pykb,spotify:track:5mRdlQ6b8SYt5wxkx0pykb,https://api.spotify.com/v1/tracks/5mRdlQ6b8SYt5wxkx0pykb,https://api.spotify.com/v1/audio-analysis/5mRdlQ6b8SYt5wxkx0pykb,272453,4
55,No Biggie,rap,0.771,0.799,1,-7.431,1,0.371,0.0799,0,0.12,0.898,89.926,audio_features,1Bet06iyNxwiUISrblJSVO,spotify:track:1Bet06iyNxwiUISrblJSVO,https://api.spotify.com/v1/tracks/1Bet06iyNxwiUISrblJSVO,https://api.spotify.com/v1/audio-analysis/1Bet06iyNxwiUISrblJSVO,119747,4
